Split,Week,Team,Opponent,Result,Points
2.0,9.0,REN,FOX,1.0,13.0
2.0,9.0,G2 ,UOL,1.0,18.0
2.0,9.0,NRG,CLG,0.0,0.0
2.0,9.0,VIT,ROC,0.0,10.0
2.0,9.0,NRG,TSM,1.0,18.0
2.0,9.0,SPY, G2,0.0,9.0
2.0,9.0,VIT,SPY,1.0,19.0
2.0,9.0,SPY,VIT,0.0,0.0
2.0,10.0,UOL,SPY,1.0,19.0
2.0,10.0,GIA,H2K,0.0,5.0
2.0,10.0,ROC, G2,0.0,7.0
2.0,10.0,TL ,TSM,0.0,13.0
2.0,10.0,UOL,GIA,1.0,22.0
2.0,10.0,GIA,UOL,0.0,4.0
2.0,10.0,OG ,FNC,0.0,3.0
2.0,10.0,TSM,CLG,0.0,5.0
2.0,10.0,FNC, OG,1.0,18.0
2.0,10.0,H2K,GIA,1.0,17.0
2.0,10.0,OG ,H2K,0.0,4.0
2.0,10.0,TSM, TL,1.0,12.0
2.0,10.0,FNC,VIT,0.0,2.0
2.0,10.0,H2K, OG,1.0,19.0
2.0,10.0,TIP,FOX,0.0,5.0
2.0,10.0,C9 ,IMT,0.0,3.0
2.0,10.0,TIP,IMT,0.0,0.0
2.0,10.0,C9 ,FOX,1.0,20.0
2.0,10.0,CLG,TSM,1.0,23.0
2.0,10.0,DIG,NRG,0.0,7.0
2.0,10.0,EL , G2,0.0,3.0
2.0,10.0,CLG,DIG,0.0,6.0
2.0,10.0,DIG,CLG,1.0,17.0
2.0,10.0,EL ,SPY,1.0,18.0
2.0,10.0,ROC,VIT,1.0,19.0
2.0,10.0,TL ,REN,0.0,9.0
2.0,11.0,CLG, TL,1.0,18.0
2.0,11.0,DIG,REN,1.0,16.0
2.0,11.0,EL ,ROC,1.0,17.0
2.0,11.0,CLG, C9,0.0,1.0
2.0,11.0,DIG,TSM,0.0,2.0
2.0,11.0,EL ,GIA,1.0,19.0
2.0,11.0,ROC, EL,0.0,10.0
2.0,11.0,TL ,CLG,0.0,4.0
2.0,11.0,UOL, OG,0.0,2.0
2.0,11.0,GIA, G2,0.0,11.0
2.0,11.0,ROC,SPY,0.0,5.0
2.0,11.0,TL ,FOX,1.0,16.0
2.0,11.0,UOL,FNC,1.0,24.0
2.0,11.0,GIA, EL,0.0,6.0
2.0,11.0,OG ,UOL,1.0,20.0
2.0,11.0,TSM,IMT,0.0,7.0
2.0,11.0,FNC,H2K,1.0,19.0
2.0,11.0,H2K,FNC,0.0,9.0
2.0,11.0,OG ,VIT,0.0,11.0
2.0,11.0,TSM,DIG,1.0,18.0
2.0,11.0,FNC,UOL,0.0,7.0
2.0,11.0,H2K, G2,1.0,19.0
2.0,11.0,TIP, C9,1.0,16.0
2.0,11.0,C9 ,TIP,0.0,5.0
2.0,11.0,TIP,REN,1.0,19.0
2.0,11.0,C9 ,CLG,1.0,18.0
2.0,12.0,C9 ,TSM,0.0,10.0
2.0,12.0,TIP, TL,0.0,6.0
2.0,12.0,C9 ,DIG,1.0,13.0
2.0,12.0,CLG,FOX,1.0,19.0
2.0,12.0,DIG,TIP,0.0,10.0
2.0,12.0,EL ,UOL,0.0,2.0
2.0,12.0,CLG,REN,1.0,18.0
2.0,12.0,DIG, C9,0.0,6.0
2.0,12.0,EL , OG,0.0,7.0
2.0,12.0,ROC, OG,0.0,5.0
2.0,12.0,TL ,NRG,1.0,17.0
2.0,12.0,UOL, EL,1.0,21.0
2.0,12.0,GIA,SPY,0.0,5.0
2.0,12.0,ROC,H2K,0.0,8.0
2.0,12.0,TL ,TIP,1.0,15.0
2.0,12.0,UOL, G2,0.0,8.0
2.0,12.0,GIA,VIT,0.0,3.0
2.0,12.0,OG ,ROC,1.0,19.0
2.0,12.0,TSM, C9,1.0,17.0
2.0,12.0,FNC, G2,0.0,3.0
2.0,12.0,H2K,VIT,1.0,15.0
2.0,12.0,OG , EL,1.0,13.0
2.0,12.0,TSM,NRG,0.0,5.0
2.0,12.0,FNC,SPY,1.0,21.0
2.0,12.0,H2K,ROC,1.0,17.0
2.0,12.0,TIP,DIG,1.0,14.0
2.0,13.0,TSM,FOX,1.0,15.0
2.0,13.0,FNC,GIA,1.0,17.0
2.0,13.0,H2K,SPY,1.0,19.0
2.0,13.0,OG ,GIA,1.0,18.0
2.0,13.0,TSM,REN,1.0,18.0
2.0,13.0,FNC,ROC,1.0,12.0
2.0,13.0,H2K, EL,1.0,14.0
