Split,Week,Player,Position,Team,Opponent,Result,Points,TeamPoints
1.0,1.0,UNLIMITED,Support,CW , SK,1.0,23.11,18.0
1.0,1.0,MAPLESTREET8,AD Carry,T8 , TL,0.0,20.96,9.0
1.0,1.0,BABY,Support,TDK, GV,0.0,10.33,9.0
1.0,1.0,NRATED,Support,SK , CW,0.0,0.15,4.0
1.0,1.0,BALLS,Top,C9 ,TSM,1.0,24.72,14.0
1.0,1.0,LUSTBOY,Support,TSM, C9,0.0,10.03,12.0
1.0,1.0,TABZZ,AD Carry,EL ,GMB,1.0,37.38,23.0
1.0,1.0,JWAOW,Top,EL ,GMB,1.0,34.14,23.0
1.0,1.0,CABOCHARD,Top,GMB, EL,0.0,6.73,5.0
1.0,1.0,KEZ,Jungler,TDK, TL,0.0,14.43,6.0
1.0,1.0,INNOX,Mid,NME, GV,1.0,37.76,13.0
1.0,1.0,DODO8,Support,T8 ,TIP,0.0,6.3,3.0
1.0,1.0,BETSY,Mid,GMB, EL,0.0,7.7,5.0
1.0,1.0,TRASHY,Jungler,NME, GV,1.0,28.46,13.0
1.0,1.0,DEXTER,Jungler,EL ,GMB,1.0,37.73,23.0
1.0,1.0,FREEZE,AD Carry,CW , SK,1.0,27.81,18.0
1.0,1.0,FORG1VEN,AD Carry,GMB,ROC,0.0,18.84,8.0
1.0,1.0,BODYDROP,Support,NME,TSM,0.0,4.66,4.0
1.0,1.0,GOSU PEPPER,Support,GMB, EL,0.0,6.36,5.0
1.0,1.0,APOLLO,AD Carry,TIP,CLG,0.0,23.29,15.0
1.0,1.0,PIGLET,AD Carry,TL , T8,1.0,31.67,15.0
1.0,1.0,IMPACT,Top,TIP,CLG,0.0,15.02,15.0
1.0,1.0,FEBIVEN,Mid,FNC, SK,1.0,38.54,20.0
1.0,1.0,HJARNAN,AD Carry,H2K, OG,0.0,11.02,5.0
1.0,1.0,QUAS,Top,TL , T8,1.0,32.45,15.0
1.0,1.0,YELLOWSTAR,Support,FNC, SK,1.0,25.48,20.0
1.0,1.0,ALTEC,AD Carry,GV ,TDK,1.0,21.24,3.0
1.0,1.0,RYU,Mid,H2K, OG,0.0,3.71,5.0
1.0,1.0,IWDOMINATE,Jungler,TL , T8,1.0,29.16,15.0
1.0,1.0,DARSHAN,Top,CLG,TIP,1.0,34.48,15.0
1.0,1.0,XIAOWEIXIAO,Mid,TIP,CLG,0.0,16.5,15.0
1.0,1.0,REIGNOVER,Jungler,FNC, SK,1.0,32.15,20.0
1.0,1.0,XPECIAL,Support,TL , T8,1.0,27.85,15.0
1.0,1.0,FOX,Mid,SK ,FNC,0.0,23.38,7.0
1.0,1.0,NUKEDUCK,Mid,ROC,GMB,1.0,30.35,8.0
1.0,1.0,ADRYH,AD Carry,GIA, CW,1.0,47.94,17.0
1.0,1.0,ODOAMNE,Top,H2K, OG,0.0,4.57,5.0
1.0,1.0,AMAZING,Jungler,OG ,H2K,1.0,20.27,22.0
1.0,1.0,POWEROFEVIL,Mid,UOL, EL,1.0,20.79,15.0
1.0,1.0,MITHY,Support,OG ,H2K,1.0,20.67,22.0
1.0,1.0,SHIPHTUR,Mid,DIG, C9,1.0,15.23,1.0
1.0,1.0,BUNNY FUFUU,Support,GV ,TDK,1.0,19.25,3.0
1.0,1.0,VIZICSACSI,Top,UOL, EL,1.0,24.52,15.0
1.0,1.0,WERLYB,Top,GIA, CW,1.0,19.17,17.0
1.0,1.0,WILDTURTLE,AD Carry,TSM,NME,1.0,19.88,19.0
1.0,1.0,VARDAGS,AD Carry,UOL,FNC,0.0,6.03,4.0
1.0,1.0,SVENSKEREN,Jungler,SK , CW,0.0,2.44,17.0
1.0,1.0,LOULEX,Jungler,H2K,ROC,1.0,22.81,12.0
1.0,1.0,MRRALLEZ,AD Carry,ROC,GMB,1.0,0.0,8.0
1.0,1.0,SOREN,Mid,CW ,GIA,0.0,25.65,11.0
1.0,1.0,METEOS,Jungler,C9 ,DIG,0.0,6.88,18.0
1.0,1.0,SLOOSHI8,Mid,T8 ,TIP,0.0,16.29,10.0
1.0,1.0,UNLIMITED,Support,CW , SK,1.0,23.11,2.0
1.0,1.0,MAPLESTREET8,AD Carry,T8 , TL,0.0,20.96,8.0
1.0,1.0,BABY,Support,TDK, GV,0.0,10.33,20.0
1.0,1.0,NRATED,Support,SK , CW,0.0,0.15,17.0
1.0,1.0,BALLS,Top,C9 ,TSM,1.0,24.72,15.0
1.0,1.0,LUSTBOY,Support,TSM, C9,0.0,10.03,7.0
1.0,1.0,TABZZ,AD Carry,EL ,GMB,1.0,37.38,21.0
1.0,1.0,JWAOW,Top,EL ,GMB,1.0,34.14,21.0
1.0,1.0,CABOCHARD,Top,GMB, EL,0.0,6.73,17.0
1.0,1.0,KEZ,Jungler,TDK, TL,0.0,14.43,4.0
1.0,1.0,INNOX,Mid,NME, GV,1.0,37.76,3.0
1.0,1.0,DODO8,Support,T8 ,TIP,0.0,6.3,10.0
1.0,1.0,BETSY,Mid,GMB, EL,0.0,7.7,17.0
1.0,1.0,TRASHY,Jungler,NME, GV,1.0,28.46,3.0
1.0,1.0,DEXTER,Jungler,EL ,GMB,1.0,37.73,21.0
1.0,1.0,FREEZE,AD Carry,CW , SK,1.0,27.81,2.0
1.0,1.0,FORG1VEN,AD Carry,GMB,ROC,0.0,18.84,18.0
1.0,1.0,BODYDROP,Support,NME,TSM,0.0,4.66,17.0
1.0,1.0,GOSU PEPPER,Support,GMB, EL,0.0,6.36,17.0
1.0,1.0,DOUBLELIFT,AD Carry,CLG,DIG,1.0,28.57,18.0
1.0,1.0,RUSH,Jungler,TIP, T8,1.0,34.17,20.0
1.0,1.0,REKKLES,AD Carry,FNC,UOL,1.0,21.95,18.0
1.0,1.0,FENIX,Mid,TL ,TDK,1.0,25.5,23.0
1.0,1.0,HUNI,Top,FNC,UOL,1.0,19.85,18.0
1.0,1.0,ZVEN,AD Carry,OG ,GIA,1.0,26.09,19.0
1.0,1.0,BJERGSEN,Mid,TSM, C9,0.0,17.18,12.0
1.0,1.0,ADRIAN,Support,TIP, T8,1.0,35.48,20.0
1.0,1.0,POBELTER,Mid,CLG,DIG,1.0,27.42,18.0
1.0,1.0,APHROMOO,Support,CLG,DIG,1.0,14.24,18.0
1.0,1.0,HAUNTZER,Top,GV ,NME,0.0,24.34,10.0
1.0,1.0,XPEKE,Mid,OG ,GIA,1.0,23.44,19.0
1.0,1.0,KEANE,Mid,GV ,NME,0.0,26.28,10.0
1.0,1.0,SOAZ,Top,OG ,GIA,1.0,24.49,19.0
1.0,1.0,SNEAKY,AD Carry,C9 ,TSM,1.0,29.18,14.0
1.0,1.0,COREJJ,AD Carry,DIG,CLG,0.0,3.76,1.0
1.0,1.0,XMITHIE,Jungler,CLG,DIG,1.0,19.09,18.0
1.0,1.0,KASING,Support,H2K,ROC,1.0,29.73,20.0
1.0,1.0,CANDYPANDA,AD Carry,SK , CW,0.0,2.36,4.0
1.0,1.0,PEPIINERO,Mid,GIA, OG,0.0,13.32,5.0
1.0,1.0,SANTORIN,Jungler,TSM, C9,0.0,12.21,12.0
1.0,1.0,GAMSU,Top,DIG,CLG,0.0,5.05,1.0
1.0,1.0,MOVE,Jungler,GV ,NME,0.0,29.03,10.0
1.0,1.0,STEVE,Top,ROC,H2K,0.0,7.32,3.0
1.0,1.0,FROGGEN,Mid,EL ,GMB,1.0,38.28,23.0
1.0,1.0,VARDAGS,AD Carry,UOL, EL,1.0,16.05,17.0
1.0,1.0,SVENSKEREN,Jungler,SK ,FNC,0.0,15.37,12.0
1.0,1.0,LOULEX,Jungler,H2K, OG,0.0,5.68,2.0
1.0,1.0,LATTMAN,AD Carry,TDK, TL,0.0,16.08,6.0
1.0,1.0,WOOLITE,AD Carry,ROC,H2K,0.0,9.71,3.0
1.0,1.0,YOUNGBUCK,Top,CW , SK,1.0,27.51,18.0
1.0,1.0,PROMISQ,Support,EL ,GMB,1.0,32.37,23.0
1.0,1.0,AIRWAKS,Jungler,CW , SK,1.0,28.36,18.0
1.0,1.0,SLOOSHI8,Mid,T8 , TL,0.0,13.7,9.0
1.0,1.0,UNLIMITED,Support,CW ,GIA,0.0,21.83,6.0
1.0,1.0,NRATED,Support,SK ,FNC,0.0,20.66,12.0
1.0,1.0,BALLS,Top,C9 ,DIG,0.0,5.06,0.0
1.0,1.0,LUSTBOY,Support,TSM,NME,1.0,26.37,16.0
1.0,1.0,TABZZ,AD Carry,EL ,UOL,0.0,12.25,6.0
1.0,1.0,JWAOW,Top,EL ,UOL,0.0,10.38,6.0
1.0,1.0,CABOCHARD,Top,GMB,ROC,0.0,14.02,8.0
1.0,1.0,KEZ,Jungler,TDK, GV,0.0,10.19,9.0
1.0,1.0,INNOX,Mid,NME,TSM,0.0,5.39,4.0
1.0,1.0,DODO8,Support,T8 , TL,0.0,17.56,9.0
1.0,1.0,BETSY,Mid,GMB,ROC,0.0,13.96,8.0
1.0,1.0,TRASHY,Jungler,NME,TSM,0.0,5.35,4.0
1.0,1.0,DEXTER,Jungler,EL ,UOL,0.0,7.39,6.0
1.0,1.0,FREEZE,AD Carry,CW ,GIA,0.0,36.57,6.0
1.0,1.0,FLARESZ,Top,NME, GV,1.0,29.61,13.0
1.0,1.0,DIAMONDPROX,Jungler,GMB, EL,0.0,4.32,5.0
1.0,1.0,GOSU PEPPER,Support,GMB,ROC,0.0,15.84,8.0
1.0,1.0,DOUBLELIFT,AD Carry,CLG,DIG,1.0,28.57,22.0
1.0,1.0,RUSH,Jungler,TIP, T8,1.0,34.17,13.0
1.0,1.0,REKKLES,AD Carry,FNC,UOL,1.0,21.95,17.0
1.0,1.0,FENIX,Mid,TL ,TDK,1.0,25.5,20.0
